Metric,SAC,Metalabeled
Final Return,0.04341102082054146,0.008210000000000654
Number of Trades,908.0,389.0
Transaction Costs,0.0582747970194555,0.038900000000000004
Sharpe Ratio,0.13556616186239087,0.03005864412263156
Max Drawdown,0.2018036334363763,23.27830188679637
Cost per Trade,6.417929187164703e-05,0.0001
Return per Trade,4.780949429575051e-05,2.110539845758523e-05
