Model,Best,Train Return,Test Return,Train Trades,Test Trades,Train Costs,Test Costs,Train Trades Reduction,Test Trades Reduction
Model 1,False,-0.6258243213194608,-0.2600771947685685,5050,1289,1.6171666509999958,0.33099044500000013,-3.102355808285947,-2.3221649484536084
Model 2,True,-0.6484721771149938,-0.19047945503808017,5094,1290,1.6298161899999957,0.33125176900000014,-3.1380991064175463,-2.3247422680412373
Model 3,False,-0.6047170181926914,-0.4115634677370459,4852,1246,1.5572456239999977,0.31990902000000015,-2.941510966693745,-2.211340206185567
Meta-labeled,False,-0.22942899936915218,0.0009888249726777154,1231,388,0.1231,0.0388,0.0,0.0
